gene	log2FoldChange	padj
Gene668	0.325659344	0.487357278
Gene669	0.314955353	0.264604723
Gene670	0.141408069	0.84822556
Gene671	1.34473459	0.036363455
Gene672	0.120723506	0.624039491
Gene673	0.347119426	0.324298685
Gene674	0.171499067	0.441932746
Gene675	0.568283876	0.086383518
Gene676	0.010051726	0.979473875
Gene677	0.495355393	0.875464745
Gene678	0.285050133	0.527371863
Gene679	0.611328625	0.65901229
Gene680	0.669057905	0.343653622
Gene681	0.008912063	9.83E-01
Gene682	0.215504349	0.511862987
Gene683	0.094051774	0.797872807
Gene684	0.322221718	0.143425671
Gene685	0.003050461	0.994813252
Gene686	0.484607568	0.188290333
Gene687	0.081603203	7.91E-01
Gene688	0.02860283	0.957976827
Gene689	0.013204213	0.965557452
Gene690	0.164291852	6.77E-01
Gene691	0.044269329	0.883511103
Gene692	0.024884345	0.953409143
Gene693	0.808474857	0.039128604
Gene694	0.230297376	0.490214926
Gene695	0.097883632	0.794311233
Gene696	0.132368755	6.79E-01
Gene697	0.116386816	0.843539082
Gene698	0	1
Gene699	0.152164772	0.716460599
Gene700	0.058344514	0.891061491
Gene701	0.214059259	0.556625627
Gene702	0.393668707	0.3935829
Gene703	0.385986717	0.27473811
Gene704	0.141037082	0.489871523
Gene705	0.599090602	0.167972462
Gene706	0.512574572	0.270330768
Gene707	0.265332694	0.2457846
Gene708	1.10258113	0.058103049
Gene709	0.012968017	0.949982317
Gene710	0.124108111	0.80750703
Gene711	0.064076534	0.6760787
Gene712	0.232484342	5.12E-01
Gene713	0.256370522	0.549129747
Gene714	0.355208016	0.782208579
Gene715	0.336554907	0.243490217
Gene716	0.472935004	0.340559613
Gene717	0.328937222	0.759750281
Gene718	0.113789551	0.688889959
Gene719	0	1
Gene720	0.440509868	0.045303489
Gene721	0.195966558	0.306641102
Gene722	0.207192999	0.31774029
Gene723	0.465128291	0.442365309
Gene724	0.290398353	0.421238526
Gene725	0.556179139	0.220279131
Gene726	0.439751927	0.553540906
Gene727	0.128942613	0.824126667
Gene728	0.066974931	0.82360589
Gene729	0.848353274	0.157282907
Gene730	0.005441309	0.984080836
